Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
*SHIRLEY,CAT,DOMESTIC LH,TORTIE,Spayed,SMALL,08/30/2015,K15-017293,LOBBY,A331470,12/30/2015,01/05/2016,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,OUT OF COUNTY,94558,"94558(38.3309306, -122.3247586)",1
GRACIELA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,01/17/2011,K14-007389,WESTFARM,A301756,01/17/2014,02/07/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*CASSIUS,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,05/14/2018,K18-029874,CA02,A376050,09/14/2018,10/09/2018,25,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*BELLO,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,07/22/2016,K16-020864,WESTFARM,A342602,09/22/2016,11/03/2016,42,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,COUNTY,OUT OF COUNTY,94303,"94303(37.424955, -122.10567)",1
*LUCY,CAT,DOMESTIC SH,CALICO/BRN TABBY,Spayed,SMALL,02/15/2016,K18-027153,CA02,A367896,02/02/2018,03/03/2018,29,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MANNY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,04/10/2020,K20-036065,WESTFARM,A398145,06/24/2020,07/28/2020,34,QUARANTINE,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
SIMBA,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,07/05/2014,K14-011428,CA02,A313029,10/23/2014,12/12/2014,50,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
BOOTS,CAT,DOMESTIC LH,BRN TABBY,Neutered,SMALL,09/04/2010,K19-031544,CA02,A256361,02/27/2019,03/07/2019,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*JOEY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,05/09/2022,K22-042195,WESTFARM,A412787,08/09/2022,09/15/2022,37,STRAY,PHONE,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*BRUNO,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,08/08/2016,K16-021088,LOBBY,A343303,10/08/2016,12/03/2016,56,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MONKEY,CAT,DOMESTIC MH,GRAY/WHITE,Neutered,SMALL,03/24/2012,K14-008169,CS04,A304551,03/24/2014,04/01/2014,8,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
*ANGIE,CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,SMALL,05/18/2019,K19-033707,WESTFARM,A391323,09/12/2019,10/02/2019,20,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
DAISY,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,08/24/2017,K17-024989,LOBBY,A357597,08/24/2017,11/04/2017,72,STRAY,BORN_HERE,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94515,"94515(38.5818482, -122.5799026)",1
KODA,CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,08/03/2019,K19-033655,RECEIVING,A391252,09/10/2019,11/13/2019,64,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,UNKNOWN,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
MOWGLI,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,03/13/2018,K19-031435,CA02,A384350,02/13/2019,02/15/2019,2,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*RICKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,LARGE,06/14/2010,K16-019075,CS04,A337768,05/31/2016,06/28/2016,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
JAX,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/10/2014,K14-009211,LOBBY,A307809,06/10/2014,06/18/2014,8,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
KATY,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,01/07/2008,K13-007210,WESTFARM,A301087,12/31/2013,02/10/2014,41,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
CHUNK,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,07/04/2017,K17-024923,MOBILE,A357200,08/18/2017,09/16/2017,29,STRAY,OVER THE COUNTER,ADOPTION,MOB EVENT,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,94601,"94601(37.780985, -122.222555)",1
*HARRY,CAT,DOMESTIC SH,GRAY TABBY,Neutered,SMALL,04/14/2014,K14-010263,LOBBY,A310110,08/13/2014,08/16/2014,3,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*SAM,CAT,SIAMESE,LYNX PT,Neutered,SMALL,10/12/2016,K18-028007,MAC,A370602,04/25/2018,04/28/2018,3,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
HUNTER,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,07/11/2016,K16-020638,CS04,A341987,09/06/2016,10/01/2016,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
*BIRDIE,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,07/15/2019,K19-033327,LOBBY,A390385,08/15/2019,09/28/2019,44,STRAY,COMM CAT,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*JOHNNY,CAT,DOMESTIC MH,ORG TABBY,Neutered,KITTN,08/07/2020,K20-037008,WESTFARM,A400853,10/07/2020,10/24/2020,17,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
SPOT,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,01/17/2022,K23-044038,CA02,A414511,03/07/2023,03/22/2023,15,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
SELVA,CAT,DOMESTIC LH,TORTIE,Spayed,SMALL,04/23/2019,K19-033170,LOBBY,A390094,08/01/2019,08/14/2019,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,VOLUNTEER,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*WILLIAM,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/29/2020,K20-036848,CA02,A400626,09/28/2020,12/08/2020,71,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
*MYLA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,05/21/2015,K15-015535,49ERPET,A326207,08/21/2015,09/14/2015,24,STRAY,COMM CAT,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
BUBA,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,10/15/2017,K19-033988,CA02,A392014,10/03/2019,10/23/2019,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
BRISA,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,07/03/2018,K18-029529,LOBBY,A375452,08/18/2018,09/15/2018,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*CHRIS,CAT,DOMESTIC MH,BUFF,Neutered,KITTN,05/01/2014,K14-009565,49ERPET,A308625,07/01/2014,08/24/2014,54,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*PORSCHE,CAT,DOMESTIC MH,GRAY,Spayed,KITTN,02/15/2017,K17-022768,LOBBY,A349266,03/11/2017,04/18/2017,38,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.79895, -123.01762)",1
SEBASTIAN,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,10/17/2009,K14-011315,CS04,A312825,10/17/2014,11/14/2014,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
GIZMO,CAT,DOMESTIC MH,GRAY/WHITE,Neutered,KITTN,05/04/2021,K21-038717,LOBBY,A405201,06/04/2021,07/13/2021,39,STRAY,PHONE,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*CORALINE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,03/07/2018,K18-027550,LOBBY,A369393,03/14/2018,05/19/2018,66,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4127094, -122.7412153)",1
HEDWIG,CAT,DOMESTIC MH,WHITE,Spayed,SMALL,09/05/2009,K16-018084,CS04,A282300,03/15/2016,03/19/2016,4,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
CLIPSY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,06/12/2017,K17-024820,LOBBY,A356731,08/12/2017,09/09/2017,28,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*SAPHIRE,CAT,SIAMESE,SEAL PT,Spayed,KITTN,09/24/2014,K14-011445,RECEIVING,A313048,10/24/2014,01/08/2015,76,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,OUT OF COUNTY,95467,"95467(38.7929242, -122.5490357)",1
*OPAL,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,04/05/2021,K21-038731,CA03,A405219,06/05/2021,06/10/2021,5,STRAY,PHONE,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*BITSY,CAT,SIAMESE/MIX,LYNX PT,Spayed,KITTN,01/22/2017,K17-026199,CA02,A363892,11/05/2017,12/02/2017,27,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*SEBASTOPOL,95472,"95472(38.4007555, -122.8277055)",1
*CLAUDE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,08/24/2017,K17-024990,LOBBY,A357598,08/24/2017,11/03/2017,71,STRAY,BORN_HERE,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
MOCHA,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,04/07/2015,K15-013846,LOBBY,A321422,05/07/2015,06/06/2015,30,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.263265, -122.641035)",1
*SHELDON,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,03/24/2016,K16-020334,LOBBY,A341138,08/17/2016,10/07/2016,51,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1
*WYATT,CAT,HIMALAYAN,SEAL PT,Neutered,SMALL,02/06/2008,K18-027173,CA02,A367946,02/06/2018,03/09/2018,31,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*HAILEY,CAT,DOMESTIC MH,TORTIE/BRN TABBY,Spayed,KITTN,08/05/2022,K22-042670,LOBBY,A413465,09/30/2022,10/27/2022,27,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
MIDNIGHT,CAT,DOMESTIC MH,BLK SMOKE,Neutered,KITTN,05/22/2018,K18-029145,LOBBY,A374790,07/17/2018,07/28/2018,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*MARY KATE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,04/10/2015,K15-014609,CA03,A323272,06/25/2015,06/30/2015,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*PLATINUM,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,05/04/2023,K23-044466,LOBBY,A416916,04/22/2023,07/22/2023,91,BORN HERE,MOM STRAY,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
SCAR,CAT,DOMESTIC LH,BLK SMOKE,Neutered,SMALL,12/06/2016,K17-026439,CA02,A364914,11/25/2017,12/19/2017,24,STRAY,OVER THE COUNTER,ADOPTION,FB SCAS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
DOLLY,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,06/23/2017,K17-024889,LOBBY,A357013,08/17/2017,09/08/2017,22,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*PENNY,CAT,DOMESTIC MH,BLACK,Spayed,KITTN,03/30/2018,K18-028464,LOBBY,A373121,05/30/2018,06/15/2018,16,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.263265, -122.641035)",1
*DOLLY,CAT,DOMESTIC LH,BLACK/WHITE,Spayed,SMALL,06/14/2019,K20-037420,WESTFARM,A401553,11/25/2020,01/09/2021,45,STRAY,PHONE,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*JAN,CAT,DOMESTIC MH,BRN TABBY,Spayed,KITTN,08/24/2014,K14-011661,LOBBY,A313610,11/08/2014,11/15/2014,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*SUGAR,CAT,DOMESTIC LH,WHITE/GRAY,Spayed,KITTN,04/29/2017,K17-024193,LOBBY,A354601,06/30/2017,07/15/2017,15,STRAY,OVER THE COUNTER,ADOPTION,FINDER,UNKNOWN,HEALTHY,COUNTY,COUNTY,94952,"94952(38.237, -122.640695)",1
*SAMMY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,08/17/2018,K18-030280,LOBBY,A377976,10/17/2018,10/30/2018,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*TED,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,03/11/2016,K16-019526,LOBBY,A339148,07/01/2016,07/12/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*SQUIRT,CAT,DOMESTIC SH,BRN TIGER/TAN,Female,KITTN,07/05/2019,K19-033364,SMM,A390475,08/18/2019,10/02/2019,45,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*PHOEBE,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,11/03/2011,K14-011480,WESTFARM,A313120,10/27/2014,12/27/2014,61,TRANSFER,VET_HOSP,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
RALPH,CAT,DOMESTIC SH,LYNX PT,Neutered,SMALL,02/07/2018,K19-031339,CA02,A384126,01/31/2019,02/13/2019,13,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
SCOUT,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/03/2017,K17-024688,LOBBY,A356455,08/03/2017,08/19/2017,16,STRAY,OVER THE COUNTER,ADOPTION,FB SCAS,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*LIONEL,CAT,DOMESTIC MH,GRAY,Neutered,SMALL,03/28/2021,K23-044110,CA02,A416241,03/16/2023,04/08/2023,23,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
*HOWARD,CAT,DOMESTIC SH,ORANGE/BUFF,Neutered,SMALL,07/16/2016,K19-032991,CA02,A389466,07/16/2019,08/28/2019,43,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*TYLER,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,04/27/2018,K18-028457,LOBBY,A373097,05/30/2018,07/17/2018,48,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95404,"95404(38.44511, -122.708)",1
*ELAINE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,01/09/2020,K20-036169,CS05,A398826,07/08/2020,08/07/2020,30,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,COUNTY,*SONOMA,95476,"95476(38.288405, -122.464525)",1
MAX,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,08/21/2014,K14-011507,LOBBY,A313159,10/28/2014,11/22/2014,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*OSCAR,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,KITTN,05/21/2015,K15-015533,LOBBY,A326205,08/21/2015,08/27/2015,6,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.263265, -122.641035)",1
*BACON,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,09/06/2014,K15-013032,49ERPET,A317565,03/05/2015,03/20/2015,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.44511, -122.708)",1
*MURPHY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,02/19/2013,K14-007699,CS04,A302655,02/13/2014,02/22/2014,9,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541355, -122.80026)",1
OLIVER,CAT,DOMESTIC LH,BLACK/WHITE,Neutered,SMALL,10/01/2006,K15-016222,CS05,A327908,10/01/2015,10/17/2015,16,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409(38.46382, -122.67058)",1
ERICA,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,06/15/2012,K17-023948,CA02,A354038,06/15/2017,07/06/2017,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,FB SCAS,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*VINNY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,11/17/2012,K14-011734,CS04,A313907,11/17/2014,12/10/2014,23,STRAY,VET_HOSP,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*TINA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,03/01/2018,K18-029699,CA02,A375717,09/01/2018,09/27/2018,26,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
NYA,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,04/01/2015,K15-014330,LOBBY,A322423,06/05/2015,06/06/2015,1,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
CUTESO,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,07/06/2016,K16-021003,LOBBY,A343155,10/04/2016,10/11/2016,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.79895, -123.01762)",1
*JESSICA,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,05/04/2017,K17-024689,LOBBY,A356456,08/03/2017,08/18/2017,15,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
BEAR PAW,CAT,DOMESTIC MH,BLACK,Neutered,KITTN,07/01/2022,K22-042329,CA02,A412982,09/13/2022,09/27/2022,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL-O,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*RINGO,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,07/12/2016,K16-020867,LOBBY,A342605,09/22/2016,09/28/2016,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95450,"95450(38.5432948, -123.2789977)",1
*WILSON,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,05/08/2014,K14-009378,MAC,A308114,06/19/2014,07/26/2014,37,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*COMET,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,06/12/2017,K17-024815,LOBBY,A356726,08/12/2017,08/24/2017,12,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*MOE,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,04/18/2014,K14-009617,49ERPET,A308704,07/02/2014,07/07/2014,5,STRAY,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
MIMI,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,07/07/2018,K18-029469,LOBBY,A375361,08/14/2018,09/11/2018,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*JULIA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,04/07/2018,K18-030852,CA02,A381774,12/07/2018,12/20/2018,13,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MARSHA,CAT,DOMESTIC MH,ORG TABBY/WHITE,Spayed,SMALL,03/07/2020,K20-036997,WESTFARM,A400843,10/07/2020,11/04/2020,28,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*TAMMY,CAT,DOMESTIC SH,BUFF/WHITE,Spayed,KITTN,04/24/2020,K20-036046,WESTFARM,A398089,06/23/2020,07/18/2020,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
CHAMOMILE,CAT,DOMESTIC LH,TORTIE,Spayed,SMALL,11/14/2017,K19-033733,CA02,A391365,09/14/2019,12/04/2019,81,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*SEBASTOPOL,95472,"95472(38.4007555, -122.8277055)",1
